Index,Tour_Name,Tour_Type,Number_of_Reviewer,Rating,Duration,Price,Highlight,Location
1.0,Phare: The Cambodian Circus Show in Siem Reap,Comedy Shows,992.0,5.0,1.0,18.0,"Siem Reap's most original, authentic live performance., Entry/Admission - Phare, The Cambodian Circus","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2.0,Khmer Gourmet Cooking Class,Cooking Classes,55.0,5.0,3.0,21.5,In-person guide,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
3.0,Koh Ker & Beng Mealea Full-Day Join-in Tour,Full-day Tours,288.0,5.0,10.0,50.0,"Cold towels & Bottled water, Professional English-speaking guide, Hotel pickup (7:40am to 8:10am) & Drop off (6pm), Transport by luxury air-conditioned minivan","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
4.0,"Kampot Day Tour ""Bokor National Park""",Adventure Tours,18.0,4.5,5.0,36.0,"Transportation: Tuk Tuk, English speaking driver, Cold water","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
5.0,Bike the Siem Reap Countryside with Local Expert,Adventure Tours,308.0,5.0,5.0,35.0,"Hotel pick up & Drop Off, Professional local English speaking guide, Mountain bike & Helmet, Local snacks and fruits, Cold Towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
6.0,Explore Battambang full day tour by Tuk Tuk (start from 9am-6:30pm),Full-day Tours,74.0,5.0,10.0,20.0,"Bottled water, Include Entrance fee of killing cave and bat cave, Included: all snacks to test samples on the way and donation to the local family, Entry/Admission - Phnom Sampeau, Entry/Admission - Battambang Bat Caves","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
7.0,Award-Winning Cooking Class Experience with Professional Teacher,Cooking Classes,205.0,5.0,3.0,25.0,"Cooking class with a professional chef, Lunch or Dinner prepared during the class","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
8.0,2-Day Angkor Wat and Banteay Srei Temple Tour,Bus Tours,33.0,5.0,48.0,55.0,"Vaccinated English speaking tour guide & driver, Breakfast, Air-conditioned transportation ( Car/Minivan/Bus), Free cool water and towels during the tour, Breakfast ( Taste authentic dish with traditional dessert) Only Day 1","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
9.0,The 10 Tastings of Siem Reap With Locals: Private Street Food Tour,Walking Tours,24.0,5.0,3.0,36.87,"Private Tour, Local Guide, 10 Food & Drinks Tastings, Vegetarian alternatives","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
10.0,Ultimate Siem Reap Food Tour (10 Locals Tasting with Drinks & Transport),Food Tours,31.0,5.0,3.0,45.0,"Private transportation, Free Flow, Test the 10 best hand picked local tasting, Passionate Foodie Host","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
